KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dlgTCHolyStatue,Oh {PlayerName}. I see you have the holy statue of our people. Do you want to give it to me?,,,,,,,,"Ох {PlayerName}. Я вижу, у вас есть священная статуя нашего народа. Ты хочешь отдать это мне?",,,,,,,,
dlgTCBadRepu,You need a friendly reputation or better to the Talon, then I will to talk to you,,,,,,,Вам нужна дружественная репутация или лучше для Когтя.,,,,,,,,
dlgTCTellMeStory,Tell me the story about your people,,,,,,,,Расскажи мне историю о своем народе,,,,,,,,
dlgTCGreetings,Greetings {PlayerName}. What do you want from me?,,,,,,,,Приветствую {PlayerName}. Чего ты хочешь от меня?,,,,,,,,
txt_mWeCe,Welcome {PlayerName} to a round of cards!,,,,,,,,Добро пожаловать {PlayerName} в карточный раунд!,,,,,,,,
txt_UGmuO,Card Dealer,,,,,,,,Карточный дилер,,,,,,,,
txt_mq8OK,We will play for <color=#fddc1e>Gold Coins</color>.\nHow many <color=#fddc1e>Gold Coins</color> do you want to bet?,,,,,,,,Мы будем играть за <color=#fddc1e>Золотые монеты</color>.\nСколько <color=#fddc1e>Золотых монет</color> вы хотите поставить?,,,,,,,,
txt_4WUCq,1 <color=#fddc1e>Gold Coin</color>,,,,,,,,1 <color=#fddc1e>Золотая монета</color>,,,,,,,,
txt_Zi4Gm,10 <color=#fddc1e>Gold Coins</color>,,,,,,,,10 <color=#fddc1e>Золотых монет</color>,,,,,,,,
txt_BxmOu,100 <color=#fddc1e>Gold Coins</color>,,,,,,,,100 <color=#fddc1e>Золотых монет</color>,,,,,,,,
txt_8cmWW,It seems you don't have enough <color=#fddc1e>Gold Coins</color>...get some and come back. Bye,,,,,,,,"Кажется, у тебя недостаточно <color=#fddc1e>Золотых монет</color>… возьми немного и возвращайся. Пока",,,,,,,,
txt_S0uKE,You bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color> and I will also bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color>. \n\nYour first card is <color=#019245><b>{PlayerCards}</b></color>.,,,,,,,,"Вы ставите {GoldCoinsPlayerBet} <color=#fddc1e>Золотые монеты</color>, и я также делаю ставку {GoldCoinsPlayerBet} <color=#fddc1e>Золотые монеты</color>. \n\nВаша первая карта — <color=#019245><b>{PlayerCards}</b></color>.",,,,,,,,
txt_aqCI0,Do you want another card?,,,,,,,,Хотите еще одну карту?,,,,,,,,
txt_GiiaK,Yes,,,,,,,,Да,,,,,,,,
txt_8OGas,No,,,,,,,,Нет,,,,,,,,
txt_GaeK3,Your next card is <color=#019245><b>{NextCard}</b></color>. \nNow you have <color=#fd9b00><b>{PlayerCards}</b></color> in total!,,,,,,,,Ваша следующая карта — <color=#019245><b>{NextCard}</b></color>. \nТеперь у вас всего <color=#fd9b00><b>{PlayerCards}</b></color>!,,,,,,,,
txt_G0Fqm,<color=#cf0707>You lost!</color>,,,,,,,,<color=#cf0707>Вы проиграли!</color>,,,,,,,,
txt_O4W4q,My first card is a <color=#019494>{DealerCards}</color>,,,,,,,,Моя первая открытка — <color=#019494>{DealerCards}</color>,,,,,,,,
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,,,,,,,,Моя следующая карта — <color=#019494>{DealerNewCard}</color>.   Теперь у меня есть <color=#019494><b>{DealerCards}!</b></color>,,,,,,,,
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} Gold Coins</color>!,,,,,,,,<color=#019245><b>Вы победили! </b></color>Вот возьмите свои <color=#fddc1e>{2*GoldCoinsPlayerBet} золотые монеты</color>!,,,,,,,,
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost!</color>,,,,,,,,У вас есть <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Вы проиграли!</color>,,,,,,,,
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games in this session so far.\nDo you want to play again?,,,,,,,,На данный момент вы <color=#019245>выиграли {TotalGamesWon}</color> и <color=#cf0707>проиграли {TotalGamesLost}</color> <color=#cf0707></color>игр в этой сессии.\nХотите сыграть еще раз?,,,,,,,,
txt_vmOu4,Yes,,,,,,,,Да,,,,,,,,
txt_8Oiie,No,,,,,,,,Нет,,,,,,,,
txt_O8CaF,Come back soon! Bye.,,,,,,,,Возвращайся скорее! Пока.,,,,,,,,
