KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_iG40h,[b]Prologue:[/b] [b][c][00fbff]Journey into the unknown[-][/c][/b],,,,,,,,[b]Пролог:[/b] [b][c][00fbff]Путешествие в неизведанное[-][/c][/b],,,,,,,,
pda_mKuKK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou crawl from the wreckage of your escape pod to find yourself injured and alone on an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.",,,,,,,,"[b][c][00fbff]Пролог: Путешествие в неизведанное[-][/c][/b]\n\nВы выползаете из-под обломков спасательной капсулы и обнаруживаете, что ранены и одиноки в неизвестном мире.\nНе имея никаких воспоминаний о том, как вы сюда попали, и в вашем распоряжении мало чего, треск радио вашего скафандра направляет вас на путь к ответам где-то в дикой местности этой чужой планеты.",,,,,,,,
pda_isaCK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.\n\n***\n[c][1083fe]This is the beginning of the main Empyrion Storyline[-][/c]",,,,,,,,"[b][c][00fbff]Пролог: Путешествие в неизведанное[-][/c][/b]\n\nВы проснулись в поврежденной спасательной капсуле, раненый и одинокий после того, как она упала в атмосферу неизвестного мира.\nНе имея никаких воспоминаний о том, как вы сюда попали, и в вашем распоряжении мало чего, треск радио вашего скафандра направляет вас на путь к ответам где-то в дикой местности этой чужой планеты.\n\n***\n[c][1083fe]Это начало основной сюжетной линии Эмпириона.[-][/c]",,,,,,,,
pda_4uW88,"[b][c][ff0000]Important !![-][/c][/b]\nYou can activate the main storyline missions via PDA (F1) at any time.\n\nPlease bear in mind, the storyline consists of consecutively linked chapters. Starting the storyline while having played for a while, sometimes might lead to its missions, related POI and the order of events [u]not working as expected anymore[/u].",,,,,,,,"[b][c][ff0000]Важно!![-][/c][/b]\nАктивировать основные сюжетные миссии можно через КПК (F1) в любой момент.\n\nИмейте в виду, что сюжетная линия состоит из последовательно связанных между собой глав. Запуск сюжетной линии после некоторой игры иногда может привести к ее миссиям, соответствующим POI и порядку событий. [u]больше не работает так, как ожидалось[/u].",,,,,,,,
pda_t8uSu,A whole new world,,,,,,,,Совершенно новый мир,,,,,,,,
pda_OHW4q,Recollections,,,,,,,,Воспоминания,,,,,,,,
pda_gLC84,===,,,,,,,,,,,,,,,,
pda_44CuO,Wh... What happened to the station?! To the Crew?!\nI've got to contact the fleet!,,,,,,,,Чт... Что случилось со станцией?! К экипажу?!\nМне нужно связаться с флотом!,,,,,,,,
pda_m00mm,Transmitting,,,,,,,,Передача,,,,,,,,
pda_40bGa,Static,,,,,,,,Статический,,,,,,,,
pda_cVmKO,===,,,,,,,,,,,,,,,,
pda_r08G8,[b][c][a1a1a1]< Radio Static >[-][/c][/b],,,,,,,,[b][c][a1a1a1]< Radio Static >[-][/c][/b],,,,,,,,
pda_8SOmG,The Signal,,,,,,,,Сигнал,,,,,,,,
pda_4W48m,Unknown Source,,,,,,,,Неизвестный источник,,,,,,,,
pda_2SmuW,===,,,,,,,,,,,,,,,,
pda_u0u8q,[b][c][a1a1a1]< Static > [-][/c][c][00e1ff]...ntelli...data...signal...radi...cal...ration...assist...transm...on...oceed...[-][/c][c][a1a1a1] < Static >[-][/c][/b],,,,,,,,[b][c][a1a1a1]< Static > [-][/c][c][00e1ff]...ntelli...данные...сигнал...радикальный...рацион...помощь...передача...на...управление...[-][/c][c][a1a1a1] < Static >[-][/c][/b],,,,,,,,
pda_m4We4,Hope rising,,,,,,,,Надежда растет,,,,,,,,
pda_Cui84,Boosting the signal,,,,,,,,Усиление сигнала,,,,,,,,
pda_sWeam,===,,,,,,,,,,,,,,,,
pda_e0m8O,But I can't understand what they're saying.\nI need some way to clean up their transmission...\n\nThere's probably [c][fbff00]an Antenna[-][/c] among some of the wreckage on the ground that I can use to boost the signal strength. It's just a matter of finding a functional device.,,,,,,,,"Но я не могу понять, что они говорят.\nМне нужен способ очистить их передачу...\n\nВероятно, есть [c][fbff00]Антенна[-][/c] среди обломков на земле, которые я могу использовать для усиления сигнала. Осталось найти функциональное устройство.",,,,,,,,
pda_mS0u0,MacGyver,,,,,,,,МакГайвер,,,,,,,,
pda_uqiiG,Find a usable antenna among the wreckage,,,,,,,,Найдите годную антенну среди обломков.,,,,,,,,
pda_WG08Y,Somewhere in this wreckage is a UCH Antenna I can use to boost the gain of my suit's radio.\n\n[c][ff0000][b]This mission can only be completed on the default starting planets at the crash site[/b][-][/c],,,,,,,,"Где-то среди этих обломков находится антенна ЦЭКБС, которую я могу использовать для усиления радиосвязи моего костюма.\n\n[c][ff0000][b]Эту миссию можно выполнить только на стартовых планетах по умолчанию на месте крушения.[/b][-][/c]",,,,,,,,
